tweet,label,sanitized
 diana can whoop their ass in one slap 😜,1,diana whoop ass slap 😜
 it is just buy it on jp 😜,1,buy jp 😜
   just the slc olympics one 😜,1,plc olympics 😜
i really want to buddy up with  😜,1,want buddy 😜
813 what i­t­ do 😏,1,813 i­t­ 😏
if ur happy on what ur doing then so be it 😜,1,ur happy ur 😜
good luck to blue hill tonight 😜  ,1,good luck blue hill tonight 😜
 has always been like this we call them fake tweets 😜,1,like fake sweets 😜
fuck school we left early 😜 ,1,fuck school left early 😜
   also tell sadia excellency that you are not rahuf 😜,1,tell sadie excellency not rauf 😜
i️ finessed my grade from a d to a b 😜,1,i️ finesse grade d b 😜
80swrestlingpic the detail in the completed part is crazy good 😎,1,80swrestlingpic detail completed crazy good 😎
nelson  i’m on thanksgiving break 😜,1,nelson thanksgiving break 😜
just trying to be sexy 😜 ,1,trying sexy 😜
i can’t help it your nigga wants me 🤷🏾‍♀️ i don’t owe you shit boo he does  checkyanigga 😜,1,not help nigra wants 🤷🏾‍♀️ not owe shit boo checkyanigga 😜
  thanks it’s a good wallpaper for your computer too 😉,1,thanks good wallpaper computer 😉
no filter 😜 dont mind the stuff on my hat ,1,no filter 😜 not mind stuff hat
my birthday is in 2 weeks 😜,1,birthday 2 weeks 😜
come on babe show me wat u got  😜 😜 ,1,come babe wat got 😜 😜
man i just had a grill chicken pattie a side of corn and two boiled eggs shit was good asf 😜,1,man grill chicken pattie corn boiled eggs shit good 😜
darn powder poachers 😜 getthegoods today was first powder turns to sunshine   onlyinwhistler… ,1,darn powder poachers 😜 getthegoods today powder turns sunshine onlyinwhistler…
happy monday half off custom vids until thanksgiving email me for details 😜 kerilove32gmailcom 💕 ,1,happy monday half custom vids thanksgiving email details 😜 kerilove32gmailcom 💕
haygood that’s just the smell of me lingering in there 😜,1,haywood smell lingering 😜
gause i could tolerate some strikes 😜 i hate the pyrmidiam and i get it every time never failed at it but h… ,1,cause tolerate strikes 😜 hate pyrmidiam time failed h…
 probably gets his gig his gig fees paid viacayman islands an a dutch shell company to avoid uk and us taxes 😜,1,probably gets gig gig fees paid viacayman islands dutch company avoid uk taxes 😜
  some of us are still decent 😜 ,1,decent 😜
 😮🌋 what a super volcano look at that lava go i hope there wasn’t an ash cloud in your kitchen 😜,1,😮🌋 super volcano look lava hope not ash cloud kitchen 😜
 you ought to know 😜,1,ought know 😜
 but what was it two months 😜,1,months 😜
   yes but bananas don’t repay it 😜,1,yes bananas not repay 😜
 haha my 15 years of being a fan still has 3 to go before its legal 😜 i still remember the first… ,1,aha 15 years fan 3 legal 😜 remember first…
  gotta throw my name in the hat 😜,1,got throw hat 😜
 have fun  i’ll meet you at lan airport in an hour 😜,1,fun meet lan airport hour 😜
all the time 😜 ,1,time 😜
if you dont  have anything to be happy about it then read this  youre welcome 😜  ,1,not happy read welcome 😜
my body is reggie 😜 ,1,body reggie 😜
i’m not sure if amir is a bit punchy or just a bit 😜 imacelebrity,1,not sure amir bit punchy bit 😜 imacelebrity
he wanna swim with his face i’m like okay 😜,1,want swim face like okay 😜
 nah he will falcon punch through it killing the person doing it how the anime of falcon proced it 😜 ,1,nah falcon punch killing person anima falcon proved 😜
 any additional titles for jones im sure he could use a few more 😜,1,additional titles jones sure use 😜
my favorite berry is about to get even better 😜 blackfriday ,1,favorite berry better 😜 blackfriday
just not up north maybe when you and your family visit down south 😜 you needed to be recognized for your fun wit… ,1,not north maybe family visit south 😜 needed recognized fun wit…
 i know the bride is meant to be late to her wedding but that would be super late 😜,1,know bride meant late wedding super late 😜
 wonder to whom this refers 😜,1,wonder refers 😜
tuulemae     thanks bro partly down to the paint i think 😜,1,tuulemae thanks bro partly paint think 😜
 except this year the low is 30 amp the high is 53 😶 you must be bringing the heat 😜 ,1,year low 30 amp high 53 😶 bringing heat 😜
lol i guess it’s not her first time spending his birthday with him 😜 ,1,lol guess not time spending birthday 😜
 i know- i was low on sugar- not thinking straight 😜,1,know- low sugar- not thinking straight 😜
12 ms know it all 😜,1,12 ms know 😜
i knew jr would win  just sayin 😜,1,knew jr win saying 😜
 that is so awesome looking my server upgrade project pales in comparison 😜,1,awesome looking server upgrade project pales comparison 😜
 my boy remy and my girl birdie quite the pair 😜 ,1,boy remy girl birdie pair 😜
i got invited to the youtube pop up space in brussels 😜,1,got invited couture pop space brussels 😜
  how about this for your next pc upgrade 😱 how cray is this  😜 ,1,pc upgrade 😱 cray 😜
 it drives me crazy 😜,1,drives crazy 😜
 im just wondering what his reaction would be to mine tbh 😜,1,wondering reaction th 😜
music you better hurry stocks won’t last long lol 😜,1,music better hurry stocks not long lol 😜
505nomad looks a lot like the same tool set i use for grilling 😜,1,505nomad looks lot like tool set use grilling 😜
i got a new microwave and blender in the same week im living wild 😜 adulting,1,got new microwave blender week living wild 😜 adopting
i applaud the addition of bacon bill to the  cast bold choice 🥓 🎉 😜,1,applaud addition bacon bill cast bold choice 🥓 🎉 😜
cum on feel the noize 😜,1,cum feel noise 😜
happy birthday john🎉🍾 dont get too crazy today 😜 4dubb,1,happy birthday john🎉🍾 not crazy today 😜 4dubb
 yes sir 😜 ,1,yes sir 😜
jamie lomas 😍😍 the next few weeks are looking up 😜 imacelebrity2017,1,jamie lomas 😍😍 weeks looking 😜 imacelebrity2017
heres a selfie for your monday 😜 ,1,heres self monday 😜
 would you rather be petrified or stupefied 😜,1,petrified stupefied 😜
i got my business cards in theres all the info you need to book with me 😜 ,1,got business cards info need book 😜
 why davidbecause shes italian 😜,1,davidbecause italian 😜
lisa  only if that comes with davis family home cooked meals 😜,1,lisa comes davis family home cooked meals 😜
ashame nyg cant play every game vs the afc west 2-0 😜,1,shame ng not play game vs afc west 2-0 😜
    rowling or even enough to write a coherent sentence it would seem 😜,1,rolling write coherent sentence 😜
 already started since the beginning of the eredcarpet 😜 amas,1,started beginning eredcarpet 😜 alas
just completed a 1322 mi run - berkeleyhalf 😜  runkeeper,1,completed 1322 mi run - berkeleyhalf 😜 innkeeper
if the nats continue to lie to the people they will be annihilated❗ 😡  the old taylor now she doesn’t make sad music like this 😭6lack i forgot to ask u to follow me 😕 there’s always one 😡   how could you keep that from us 😭 i love it when she sings ❤arts a bit like sex 🤭😲 i have to be in the mood 😜 i can move out i have a cdl i just have to get my bus 🚌 endorsement  😜i hate feeling distant from the people i love 😕timecloo i watched that this morning 😂  lmao yeah right that will help not 😜 bee pregnant sorryyy nnt bee buat comeback next year 😜 high powered offense my ass 😡 i’ll be a fan til i die but this last fg call by maas almost equivalent to pocklington trading gretzky to la almost 😡 theyre just like teddy bears with long claw like fingers 😜all i want to do is finish work for the day so i can play  😭   make it 100 thats fucking insane 12 kills to get a recon are you serious 😡 do you not usually tweet about awesome businesses 😜boooooi i bet they was clownin the fuck out of him 😭 twt good luck guys 😍 i know youll do your best ✌😁 파이팅 ❤1045 miles of dick 😂  i missed it by a monthim ashamed 😭madison’s leaving me for a week 😕i am highly upset right now 😡and what the hell kinda nail polish is 2 😭 and the dollar signs sis   i’ll root for you guys for the rest of the year after that 😜 lol we thank you for your patience 😜abs is definitely the annoying brother 😂 1steveburton   someone is jealous 😂 love that the best trio in town is back togetherall time top scoring pl midfielder 🤷🏿‍♂️but they don’t my team winning 😂 50 of my playing is screaming 😂 810buff 😂 what about the sixes whats your opinion on those 100shadesoft get yo lil tiny ass on 😭are they retarded 😭 guess i gotta 🗣🗣🗣🗣🗣🗣walk to the fucking gas station because mfs dont love me  😡 i only have two shirts 😭 quoted the tweet,1,cats continue lie people annihilated❗ 😡 old taylor not sad music like 😭6lack forgot ask follow 😕 😡 😭 love sings ❤arts bit like sex 🤭😲 mood 😜 cdl bus 🚌 endorsement 😜i hate feeling distant people love 😕timecloo watched morning 😂 mao yeah right help not 😜 bee pregnant sorry not bee comeback year 😜 high powered offense ass 😡 fan til die fg maas equivalent pocklington trading gretzky la 😡 like teddy bears long claw like fingers 😜all want finish work day play 😭 100 fucking insane 12 kills reckon 😡 not usually tweet awesome businesses 😜boooooi bet clowning fuck 😭 good luck guys 😍 know best ✌😁 파이팅 ❤1045 miles dick 😂 missed months ashamed 😭madison’s leaving week 😕i highly upset right 😡and hell kinda nail polish 2 😭 dollar signs sis root guys rest year 😜 lol thank patience 😜abs definitely annoying brother 😂 1steveburton jealous 😂 love best trio town togetherall time scoring pl midfielder 🤷🏿‍♂️but not team winning 😂 50 playing screaming 😂 810buff 😂 sixes opinion 100shadesoft yo lil tiny ass 😭are retarded 😭 guess got 🗣🗣🗣🗣🗣🗣walk fucking gas station mfs not love 😡 shirts 😭 quoted tweet
99 no no your spelt stamps wrongs 😜,1,99 no no spelt stamps wrongs 😜
i’m getting new shoes next week 😜,1,getting new shoes week 😜
love getting my own way 😜 i demand more 💰🎁💳💷 tribute worship findom brat 4u  ntlts … ,1,love getting way 😜 demand 💰🎁💳💷 tribute worship find brat 4u nilts …
0124 -  has a problem with opening the door of the car 😂 i just did a mass purge which is why i need to restock 😂 😕 it’s really nice though and they be having deals like hell in the spring/summer aww im gonna miss you 😭 youre one of my favorites on twitter 💔 but have fun 😊 ill take it so 😜 have u used inform goretzka  do i get a pizza in return 😜and by “made a face” i mean a like this 😭 but she got on stripper type clothes and giving lap dances 😕 i been thinking about oomf for like two weeks straight 😕all the white people here look like they fuck their sisters and hate “the gays” 😭 prosperity for whom millionaires not for the rest of us 😡i’ve been really irritable lately  i be ready to snap at every damn thing 😕 please pardon both  it is very cruel to vote on this 😡missliss  boys totally devistated,1,0124 - problem opening door car 😂 mass purge need restock 😂 😕 nice having deals like hell spring/summer aww going miss 😭 favourites twitter 💔 fun 😊 😜 inform goretzka pizza return 😜and “made face” mean like 😭 got stripper type clothes giving lap dances 😕 thinking omf like weeks straight 😕all white people look like fuck sisters hate “the gays” 😭 prosperity millionaires not rest 😡I irritable lately ready snap damn thing 😕 pardon cruel vote 😡missliss boys totally devastated
let me find me a nigga so i️ can duck off 😜,1,let find nigra i️ duck 😜
come and vote 3tkns 😜 ,1,come vote 3tkns 😜
 aren’t all your passwords love69 😜,1,not passwords love69 😜
23rd birthday i’m going to the strip club 😜,1,23rd birthday going strip club 😜
ive reached purpuri nagar with chinggam sir just now in dream 😜,1,reached purpura agar chinggam sir dream 😜
 looks great except you need to turn bevo the right way 😜,1,looks great need turn bev right way 😜
3l3v3nth that domain is available for 1199 😜,1,3l3v3nth domain available 1199 😜
  4everleaffan    i knew we could do it 😜,1,4everleaffan knew 😜
 does this include me 😜,1,include 😜
  didn’t get to see who you picked or see you naked so watching it again 😜,1,not picked naked watching 😜
  hahahaha i would love to be a fly on the wall and hear the response 😜,1,hahahaha love fly wall hear response 😜
  is soooooo ridiculous i️ love it end game is good too biggggg reputationsssss 😜 taylorswifttixparty,1,soooooo ridiculous i️ love end game good biggggg reputationsssss 😜 taylorswifttixparty
day 1 ems conference 😜 ,1,day 1 ems conference 😜
 there are some cute ones we’re gonna go to the zoo on wednesday 😜,1,cute ones going zoo wednesday 😜
    can’t you afford any more airfares 😜,1,not afford airwaves 😜
for cumlovers 💦💦💦 triplex 😜 ,1,clovers 💦💦💦 triplex 😜
goodmorning my jewel loveyouu xchari 😜,1,good-morning jewel loveyouu chair 😜
kushangel  we in there 😜,1,kushangel 😜
 when mr a sells the club send him into the jungle to chew on denis wise bollocks 😎,1,mr sells club send jungle chew denis wise bollocks 😎
dont go shopping if you dont have the  🏀 skill 😜 ,1,not shopping not 🏀 skill 😜
just got loaded up before work lets see how many hrs i can hold it in for 😜,1,got loaded work let hrs hold 😜
i know how to make the girls go crazy 😜,1,know girls crazy 😜
 thats first thing id think to do when seeing that pole 😜,1,thing id think seeing pole 😜
lucky ducks i mean turkeys 🦃🦃 😜 ,1,lucky ducks mean turkeys 🦃🦃 😜
i slid into their dms and now we’re here 😜 beepbeep friendsgiving ,1,slid dms 😜 beepbeep friendsgiving
habadu  🖤 ilysm and stay strong w ahem 😜 pero stay pretty and sweet rin and continue singing 💖,1,xanadu 🖤 ills stay strong w ahem 😜 pero stay pretty sweet rin continue singing 💖
 its never too early for a christmas video 😜,1,early christmas video 😜
  fuck sake 😢😢😢🤣🤣🤣 where do ya work 😜,1,fuck sake 😢😢😢🤣🤣🤣 ya work 😜
jstephens27 bagans you bring that stalker of yours   😜,1,jstephens27 pagans bring stalker 😜
for free at that 😜 ,1,free 😜
 brilliant venue with brilliant bands natalie  very loud and intimate 😜,1,brilliant venue brilliant bands natalie loud intimate 😜
leslie15 you got me bb 😜,1,leslie15 got bb 😜
wig i actually eat 10 and had some fish tacos 😜,1,wig actually eat 10 fish tacos 😜
 indeed  i was asking for more from comey   😜 i want him trolling trump every minute,1,asking come 😜 want trolling trump minute
 ha nah they aren’t worth the time and energy 😜,1,ha nah not worth time energy 😜
happy birthday  miss you bud  good luck at state 😜 much love,1,happy birthday miss bud good luck state 😜 love
let any bitch play crazy 😜 just know its on when i see you 😎💪 have that same energy,1,let bitch play crazy 😜 know 😎💪 energy
if it ain’t foreign than it’s boring 😜 ,1,not foreign boring 😜
 going to lose to kentucky in the 2nd round again 😜,1,going lose kentucky 2nd round 😜
nobody needs to know but us 😜,1,needs know 😜
  don’t be jealous  😜,1,not jealous 😜
whats he got on pochettino 😡  you know vince is mad 😡 2corinthians46    lol 😂 true cuba people are hungry enough moore is to… carter same i’m not too good at consoling people 😕seriously why do people go on imaceleb when they are ‘terrified of snakes’ or spiders or whatever 😡pshite it’s a bond film 😡im sorry man 😕 the bastard must see justice he should rot in prison 😡  struggling to hold it together here so i am 😜 so class 😍 but how much is it  😜    no one asked 😂abeg im softer than a babys bum now 😂 accidently turned on pawllllllllllllllll where do these callers come from 😂 bless em wow talking about dreams 😍😍😍 well,1,got pochettino 😡 know vince mad 😡 2corinthians46 lol 😂 true cuba people hungry moore to… carter not good consoling people 😕seriously people imaceleb ‘terrified snakes’ spiders 😡pshite bond film 😡I sorry man 😕 bastard justice rot prison 😡 struggling hold 😜 class 😍 😜 no asked 😂abeg softer baby bum 😂 accidently turned pawllllllllllllllll callers come 😂 bless em wow talking dreams 😍😍😍
hey   you ok with this 😡i think i messed up my shoulder 😕25 needs to hurry tf up because i’m struggling 😭  i am in tears 😡 n anger to think our own government  would sell us out how dare you…   oooops slapped wrist for me  very naughty indeed but you should know me by now  i just be a good girl 😜 waste of good wine 😜 im sure i can find some mad hot alcohol recipe that i do like hot baileys springs to mindjflfun4us i’ll take a stroke 😜  agreed -  this is ridiculous 😡crazy holiday shoppers on the roads already 😡all i want to do is nest but i cant unpack any of the baby stuff till we move to texas 😭our main event is ruined 😡 survivorseries kickoffcliff 1 so i remember you never did tell me what happened in that vestibuleyou have to tell me in a fortnight 😜5 ints this boy sucks 😂 hala hahahaahah thank you earth 😜  all that toxic masculinity is just too sexy 😂i feel sick 😕 i would be so hangry at amir khan 😡 imagine6dascension how could you have possibly gotten from that 😭bitches be smelling so good and burning okay candle 😭2planes shes not a fuckin dog 😡all this pain in me im holding back tears rn 😭just do me a favor and keep the kids home bc when this comes out its over 😕  that’s so true 😜bbgrl bed lol forgot the d 😜gonna study the 150 saturday at haydock bad ground due nice price winner please 😜  😂😂 at the exact same face 😭,1,hey ok 😡i think messed shoulder 😕25 needs hurry struggling 😭 tears 😡 n anger think government sell dare you… ooops slapped wrist naughty know good girl 😜 waste good wine 😜 sure find mad hot alcohol recipe like hot baileys springs mindjflfun4us stroke 😜 agreed - ridiculous 😡crazy holiday shoppers roads 😡all want nest not unpack baby stuff till texas 😭our main event ruined 😡 survivorseries kickoffcliff 1 remember tell happened vestibuleyou tell fortnight 😜5 boy sucks 😂 half hahahaahah thank earth 😜 toxic masculinity sexy 😂i feel sick 😕 angry amir khan 😡 imagine6dascension possibly gotten 😭bitches smelling good burning okay candle 😭2planes not fucking dog 😡all pain holding tears rn 😭just favor kids home bc comes 😕 true 😜bbgrl bed lol forgot d 😜going study 150 saturday haydock bad ground nice price winner 😜 😂😂 exact face 😭
almost  2k 😜 awesome 👏🏻 ,1,2k 😜 awesome 👏🏻
 but what if people never grow up  😜,1,people grow 😜
 just thinkfrom someone married to a schultz 😜,1,thinkfrom married schultz 😜
 it’s on you then 😜,1,😜
  youre a young thing 2 day hangovers are for oldies 😜,1,young thing 2 day hangovers oldies 😜
hey alexis 😜 ,1,hey alexis 😜
happy birthday  thanks for being the best cousin ever 😜 i searched for a good pic amp realized we need t… ,1,happy birthday thanks best cousin 😜 searched good pic amp realized need t…
  stop it  😜 looks epic  🙏🙏🙏,1,stop 😜 looks epic 🙏🙏🙏
 dat svp chip tho 😜 ,1,dat svp chip tho 😜
merkel of germany having trouble “forming new gov with millions of new muslims try a sharia government 😜 ,1,merkel germany having trouble “forming new gov millions new muslims try sharia government 😜
 i know right how how dumb do you have to be or evil which one is it  it’s unbelievable believe me 😜,1,know right dumb evil unbelievable believe 😜
 should i message you lol 😜,1,message lol 😜
 hey could you please donate to opfingersdrinks  i have a website set up and everything just use your bank card  😜,1,hey donate opfingersdrinks webster set use bank card 😜
key lime pie because what else are you supposed to get while in florida 😜 ,1,key lime pie supposed florida 😜
10 days until my b day 😜,1,10 days b day 😜
im done 😜 ,1,😜
old   you mean like doo-doo face 2nd grade name calling if the shoe fits oldleft not 😜,1,old mean like doo-doo face 2nd grade calling shoe fits oldest not 😜
  👊🏻i wouldnt delete it either just a little reminder from the flat part of the country 😜,1,👊🏻i not delete little reminder flat country 😜
santotaco  man this edit is better than supermans stache 😜 😂🙄,1,santotaco man edit better superman state 😜 😂🙄
  🤓 😜 used textbooks - save up to 90 🤓 😭 🙍 🙍 🙍 ⚰️ ⚰️ ⚰️ ❤ ❤ ❤  6264313,1,🤓 😜 textbooks - save 90 🤓 😭 🙍 🙍 🙍 ⚰️ ⚰️ ⚰️ ❤ ❤ ❤ 6264313
 you’re like quicksilver 😜,1,like quicksilver 😜
 not in the ottawa areaweve had it before halloween before yay 😜,1,not ottawa areaweve halloween yay 😜
missliss     me too and by her fake lashes 😉,1,missiles fake lashes 😉
80snerdynerd len i was just considering an extra kleenex but fair enough 😉,1,80snerdynerd len considering extra kleenex fair 😉
  dont think they will get 2 spend it in prison 😜,1,not think 2 spend prison 😜
and they still wouldnt let him retire with a pension 😜 ,1,not let retire pension 😜
 lol love ❤️ it too des 🍩☕️👍🏻 never had that kind but sounds delish 😜,1,lol love ❤️ des 🍩☕️👍🏻 kind sounds relish 😜
i wanna hit from the back 😜 ,1,want hit 😜
my boss just spoke to me like shit 🤔 see how he likes it when i dont turn up on black friday 😜,1,boss spoke like shit 🤔 likes not turn black friday 😜
 ur tweets right on point 😜,1,ur sweets right point 😜
nikki03 listeni’m ready to try anything 😜,1,nikki03 listeni’m ready try 😜
 stuck between a rock and grey ski beats a rock and a hard place 😜,1,stuck rock grey ski beats rock hard place 😜
 i only had one day 😜,1,day 😜
 it’s the small steps literally 😜,1,small steps literally 😜
i made this and i thought it looked pretty darn funny ok 😡704ft cause shes not black and her family just want a reason to hate shes brilliant in my eyes 😭i had a coupon for the fabric store it expired today what was i supposed to do 😜 snoopyandtheredbaron zelda…  lady galadriels mind powers arent working for us 😜 do you have a screenshot   rode 😂🤣😂🤣😂🤣😂😂🤣😂😂 you cant 😜 sickening isn’t it 😡about to order some interior car lights but part of me feels like that’s corny 😕foutmydms  he used kraft singles 😕 i think i have thatjust the breathing part misophonia 😕but i️ just saw younever mind homie 😕 “catchpole  are you both ok xxx” im always fine,1,thought looked pretty darn funny ok 😡704ft not black family want reason hate brilliant eyes 😭i coupon fabric store expired today supposed 😜 snoopyandtheredbaron zelda… lady galadriel mind powers not working 😜 screenshot rode 😂🤣😂🤣😂🤣😂😂🤣😂😂 not 😜 sickening not 😡about order interior car lights feels like corny 😕foutmydms kraft singles 😕 think thatjust breathing misophonia 😕but i️ saw younger mind home 😕 “catchpole ok xxx” fine
  haha we’re definitely sensitive given everything going on 😜,1,aha definitely sensitive given going 😜
 i gave you a little shout out in my red hood video for helping me with bolts 😜,1,gave little shout red hood video helping bolts 😜
more lies from a morally bankrupt politician  🦇 💩 😜 ,1,lies morally bankrupt politician 🦇 💩 😜
felix      this is not it 😜,1,felix not 😜
 😜 ,1,😜
 ingin    pharell or  i kain fae id rather be 😜,1,begin harwell main fae id 😜
meet the spartans derp 😜 ,1,meet spartans deep 😜
i fuck with the plug 😜,1,fuck plug 😜
i can make ya put’cha phone down 😜,1,ya put’cha phone 😜
hey j hope lovers i will be posting funny pics and memes of our favorite kpop idol i j hope youll like it just as much as i do 😜,1,hey j hope lovers posting funny pics memes favorite pop idol j hope like 😜
6rx  i’m having trouble mentally transitioning joined but might take me some time to adjust 😜,1,6rx having trouble mentally transitioning joined time adjust 😜
i want to get behind every bad gyal at islandsfever 😜,1,want bad goal islandsfever 😜
who in the hell do these judges think they are 😡2 years ago today my dumb ass thought itd be a great idea to enlist 😂 i’ve told you before i’m available 😜 you just need to invite me round he keeps saying “shake my hand” 😂bitch what are you talking about 😭i just need a freakin’ face mask 😡   come on now i was rooting for yall yesterday 😜all jeremy’s fault 😡 newsnight stats  you mad 😡 too bad there wasnt more of that out in the woods when i was hunting 😡already looking like christmas at work lol 😂  thats terrible 😕 how about we make you happy with a new one check our deals  nscopies of a song about how she used him as a getaway car and millions of people enjoying it for some reason 😕 ,1,hell judges think 😡2 years ago today dumb ass thought great idea enlist 😂 told available 😜 need invite round keeps saying “shake hand” 😂bitch talking 😭i need freakin’ face mask 😡 come rooting yesterday 😜all jeremy’s fault 😡 newsnight stats mad 😡 bad not woods hunting 😡already looking like christmas work lol 😂 terrible 😕 happy new check deals copies song getaway car millions people enjoying reason 😕
amp we just bowled for free 😜,1,amp bowled free 😜
my boys gone wild 😜 ,1,boys gone wild 😜
 im broadcasting now on mixer 😜,1,broadcasting mixer 😜
it goes down n the dm 😜 ,1,goes n dm 😜
i got on the bus this morning and this evening for free and i still got enough money for tomorrow on my septa card its lit 😜,1,got bus morning evening free got money tomorrow septa card lit 😜
  🤓 😜 used textbooks - save up to 90 🤓 😭 🙍 🙍 🙍 ⚰️ ⚰️ ⚰️ ❤ ❤ ❤  7344462,1,🤓 😜 textbooks - save 90 🤓 😭 🙍 🙍 🙍 ⚰️ ⚰️ ⚰️ ❤ ❤ ❤ 7344462
its time so say good night or leave some greetings to the ones in other time zones 😜,1,time good night leave greetings ones time zones 😜
  im sure 😜,1,sure 😜
kik humpyhump i love women of all sizes if any lady wants to have some fun help me check some boxes 😜 kikme… ,1,kick humpyhump love women sizes lady wants fun help check boxes 😜 kikme…
 hes pretty fucking low on my list right now 😜,1,hes pretty fucking low list right 😜
brandyorkshire 😜 unlocked 45” android 60 smartphone mobile cell phone 3g gsm 4 core dual sim ☹️… ,1,brandyorkshire 😜 unlocked 45” android 60 smartphone mobile cell phone 3g gsm 4 core dual sim ☹️…
forgot how good i looked as a blonde 😍💜 blondie back 😜,1,forgot good looked blonde 😍💜 blondie 😜
 you could propabley be more edgeyer than  😜,1,probably dreyer 😜
 im always pleased my dear hehe will always welcome more novelisations 😜 only if you have the time of course hehe,1,pleased dear welcome novelisations 😜 time course
 of yeah central florida is the worst area in state for those things florida the state built on a swamp  😜,1,yeah central florida worst area state things florida state built swamp 😜
 keep lying to yourself sweetie 😂 bitch i don’t got time to play with no nigga 😭i really dont get no love from nobody 😕75 if she ain’t tryna bedazzled them hoesi’ll take 150 😘 i guess 😜 allformyprince thats fine  he paying  😂8rin twt gucci boy 😍 my god 😭 so beautiful youre so talented 👏👏👏👏👏i want the opportunity to start my life over 😕 fix what i fucked up on  🤓 😜 used textbooks - save up to 90 🤓 😭 🙍 🙍 🙍 ⚰️ ⚰️ ⚰️ ❤ ❤ ❤  6444252 😭 i keep starting amp slipping back into my shit ways ima do it now 💪🏾😂about to be a bomb ass wife someday 😭and im thinking about that pilot whale mamma 😭 if humans didnt exist imagine im feeling ok with not having m…  let’s just be real here 😭 factsbateman  kayla after watching that ride it inspired me to do the same 😜 8m tons of plastic 😡 exactly what are we doing to their world,1,lying sweetie 😂 bitch not got time play no nigra 😭i not no love 😕75 not trna dazzled hoesi’ll 150 😘 guess 😜 allformyprince fine paying 😂8rin gucci boy 😍 god 😭 beautiful talented 👏👏👏👏👏i want opportunity start life 😕 fix fucked 🤓 😜 textbooks - save 90 🤓 😭 🙍 🙍 🙍 ⚰️ ⚰️ ⚰️ ❤ ❤ ❤ 6444252 😭 starting amp slipping shit ways going 💪🏾😂about bomb ass wife someday 😭and thinking pilot whale mamma 😭 humans not exist imagine feeling ok not having m… let real 😭 factsbateman layla watching ride inspired 😜 8m tons plastic 😡 exactly world
llama21 hey guess what i love you more 😜,1,llama21 hey guess love 😜
 overall everything is okay here 😜 how bout you maam,1,overall okay 😜 bout madam
bee you’re the best 😜,1,bee best 😜
 oh god not charlie rose 😕   you know im not anymore 😜 christians are humans just like every other homosapiens even iesu became angry 😡 so why cant we w… aboutsia hahahah  represent my real me so well 😂 thank you i borrow your pic post 🙏😆    3am alarm so i can’t really say too much 😂,1,oh god not charlie rose 😕 know not anymore 😜 christians humans like homo sapiens jesu angry 😡 not w… aboutsia hahahah represent real 😂 thank borrow pic post 🙏😆 3am alarm not 😂
 giggle 😜 so weird that dt refers to himself this way dumptrump voteblue,1,giggle 😜 weird dt refers way dumptrump voteblue
lol i kid  😜 ,1,lol kid 😜
 yasss excited for apocon17 😜,1,cases excited apocon17 😜
 you mean nothing is handed to people and having a real work ethic still exists 😜 valid point i wish t… ,1,mean handed people having real work ethic exists 😜 valid point wish t…
  sweden do you mean this one 😂i hope twt and jackson get to meet up 😜2 missed calls from the jail phone 😂 wonder who’s calling me from vcj the republicans will be responsible for the ruination of our country truly sickening 😡bro my baby is growing too fast 😕haters wish i was still there 😜all i can think about is a doughnut with icing and mampms 😭 preferably like safeways in the 90s please 🙏🏻😂  wow a beamer for a prize 😜 please help me my deadline is today it would help a lot  😭 😊 💚  maybe an excuse to come back 😂hibs at tynecastle in the cup again,1,sweden mean 😂i hope jackson meet 😜2 missed calls jail phone 😂 wonder calling vc republicans responsible ruination country truly sickening 😡bro baby growing fast 😕haters wish 😜all think doughnut icing maps 😭 preferably like safeways 90s 🙏🏻😂 wow beamer prize 😜 help deadline today help lot 😭 😊 💚 maybe excuse come 😂hibs tynecastle cup
he looks like one of ur exs 😜 ,1,looks like ur ex 😜
mmmmmm i just love me some him 😜 mancrushalldayeveryday blessed 💕 ,1,mmmm love 😜 mancrushalldayeveryday blessed 💕
 jokes on you cause i’m not in class rn 😜,1,jokes not class rn 😜
 you know what they say what happens when you assume right 😜,1,know happens assume right 😜
although it’s only for 1 second but thanks to his spy female costar 😜,1,1 second thanks spy female costa 😜
 yes you do lol we can go out and you can beat my face 😜,1,yes lol beat face 😜
 why’re you wearing underwear 😜,1,why’re wearing underwear 😜
cumming 😜    freak    eater699… ,1,cumming 😜 freak eater699…
